Indicator,Date,Measure,Area,Characteristic,Breakdown,Value,LCI,UCI,
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 15 to 19 ,0.4,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 20 to 24 ,0.7,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 25 to 29 ,0.9,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 30 to 34 ,1.3,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 35 to 39 ,2.1,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 40 to 44 ,3.5,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 45 to 49 ,5.5,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 50 to 54 ,8.3,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 55 to 59 ,11,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 60 to 64 ,14.6,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 65 to 69 ,17.9,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 70 to 74 ,20.3,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 75 to 79 ,21.9,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 80 to 84 ,23.8,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 85 to 89 ,23.6,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 90 to 94 ,20.4,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 95 and over ,16,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 1 to 4 ,0,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 5 to 9 ,0,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 10 to 14 ,0,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 15 to 19 ,0.3,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 20 to 24 ,0.7,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 25 to 29 ,1,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 30 to 34 ,1.4,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 35 to 39 ,2,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 40 to 44 ,3.1,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 45 to 49 ,4.5,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 50 to 54 ,6.1,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 55 to 59 ,7.9,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 60 to 64 ,9.9,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 65 to 69 ,11.8,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 70 to 74 ,13.2,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 75 to 79 ,15.1,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 80 to 84 ,17.3,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 85 to 89 ,17.5,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 90 to 94 ,16,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Female,Aged 95 and over ,11.7,[x],[x],
Primary care diabetes disease register,2009/10 ,Count,Wales,Persons,Patients aged 17+,"153,175",[x],[x],
Primary care diabetes disease register,2010/11 ,Count,Wales,Persons,Patients aged 17+,"160,533",[x],[x],
Primary care diabetes disease register,2011/12 ,Count,Wales,Persons,Patients aged 17+,"167,537",[x],[x],
Primary care diabetes disease register,2012/13 ,Count,Wales,Persons,Patients aged 17+,"173,299",[x],[x],
Primary care diabetes disease register,2013/14 ,Count,Wales,Persons,Patients aged 17+,"177,212",[x],[x],
Primary care diabetes disease register,2014/15 ,Count,Wales,Persons,Patients aged 17+,"183,348",[x],[x],
Primary care diabetes disease register,2015/16 ,Count,Wales,Persons,Patients aged 17+,"188,644",[x],[x],
Primary care diabetes disease register,2016/17 ,Count,Wales,Persons,Patients aged 17+,"191,590",[x],[x],
Primary care diabetes disease register,2017/18 ,Count,Wales,Persons,Patients aged 17+,"194,693",[x],[x],
Primary care diabetes disease register,2018/19 ,Count,Wales,Persons,Patients aged 17+,"198,883",[x],[x],
Primary care diabetes disease register,2019/20,Count,Wales,Persons,Patients aged 17+,"204,167",[x],[x],
Primary care diabetes disease register,2020/21,Count,Wales,Persons,Patients aged 17+,"207,273",[x],[x],
Primary care diabetes disease register,2021/22,Count,Wales,Persons,Patients aged 17+,"212,716",[x],[x],
Percentage of registered patients aged 17 and over with diabetes,2021/22,Percentage,Aneurin Bevan UHB,Persons,Patients aged 17+,8.7,[x],[x],
Percentage of registered patients aged 17 and over with diabetes,2021/22,Percentage,Cwm Taf Morgannwg UHB,Persons,Patients aged 17+,8.6,[x],[x],
Percentage of registered patients aged 17 and over with diabetes,2021/22,Percentage,Hywel Dda UHB,Persons,Patients aged 17+,8.4,[x],[x],
Percentage of registered patients aged 17 and over with diabetes,2021/22,Percentage,Betsi Cadwaladr UHB,Persons,Patients aged 17+,7.9,[x],[x],
Percentage of registered patients aged 17 and over with diabetes,2021/22,Percentage,Powys THB,Persons,Patients aged 17+,7.8,[x],[x],
Percentage of registered patients aged 17 and over with diabetes,2021/22,Percentage,Swansea Bay UHB,Persons,Patients aged 17+,7.8,[x],[x],
Percentage of registered patients aged 17 and over with diabetes,2021/22,Percentage,Cardiff & Vale UHB,Persons,Patients aged 17+,6.6,[x],[x],
Percentage of registered patients aged 17 and over with diabetes,2021/22,Percentage,Wales,Persons,Patients aged 17+,8.0,[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2014/15,Count,Wales,Persons,Items,"3,273,663",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2015/16,Count,Wales,Persons,Items,"3,412,183",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2016/17,Count,Wales,Persons,Items,"3,521,034",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2017/18,Count,Wales,Persons,Items,"3,592,586",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2018/19,Count,Wales,Persons,Items,"3,720,404",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2019/20,Count,Wales,Persons,Items,"3,919,141",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2020/21,Count,Wales,Persons,Items,"3,997,493",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2021/22,Count,Wales,Persons,Items,"4,192,709",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2022/23,Count,Wales,Persons,Items,"4,441,227",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2014/15,Count,Wales,Persons,Cost,"57,235,698",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2015/16,Count,Wales,Persons,Cost,"61,932,015",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2016/17,Count,Wales,Persons,Cost,"63,131,694",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2017/18,Count,Wales,Persons,Cost,"65,711,987",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2018/19,Count,Wales,Persons,Cost,"71,784,087",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2019/20,Count,Wales,Persons,Cost,"80,364,201",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2020/21,Count,Wales,Persons,Cost,"86,111,935",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2021/22,Count,Wales,Persons,Cost,"92,351,814",[x],[x],
Items prescribed and the associated cost for drugs used to manage diabetes,2022/23,Count,Wales,Persons,Cost,"105,031,848",[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Swansea Bay UHB,Persons,Type 1,14.29%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Swansea Bay UHB,Persons,Type 2,39.57%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Swansea Bay UHB,Persons,Type 1,43.50%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Swansea Bay UHB,Persons,Type 2,70.30%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Swansea Bay UHB,Persons,Type 1,38.50%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Swansea Bay UHB,Persons,Type 2,66.57%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Aneurin Bevan UHB,Persons,Type 1,32.51%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Aneurin Bevan UHB,Persons,Type 2,43.06%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Aneurin Bevan UHB,Persons,Type 1,53.52%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Aneurin Bevan UHB,Persons,Type 2,75.46%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Aneurin Bevan UHB,Persons,Type 1,49.56%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Aneurin Bevan UHB,Persons,Type 2,71.03%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Betsi Cadwaladr UHB,Persons,Type 1,23.97%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Betsi Cadwaladr UHB,Persons,Type 2,34.19%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Betsi Cadwaladr UHB,Persons,Type 1,52.66%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Betsi Cadwaladr UHB,Persons,Type 2,68.39%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Betsi Cadwaladr UHB,Persons,Type 1,45.59%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Betsi Cadwaladr UHB,Persons,Type 2,63.85%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Cwm Taf Morgannwg UHB,Persons,Type 1,21.19%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Cwm Taf Morgannwg UHB,Persons,Type 2,33.30%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Cwm Taf Morgannwg UHB,Persons,Type 1,53.24%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Cwm Taf Morgannwg UHB,Persons,Type 2,73.49%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Cwm Taf Morgannwg UHB,Persons,Type 1,47.99%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Cwm Taf Morgannwg UHB,Persons,Type 2,69.59%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Cardiff & Vale UHB,Persons,Type 1,35.87%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Cardiff & Vale UHB,Persons,Type 2,43.81%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Cardiff & Vale UHB,Persons,Type 1,58.38%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Cardiff & Vale UHB,Persons,Type 2,73.76%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Cardiff & Vale UHB,Persons,Type 1,52.52%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Cardiff & Vale UHB,Persons,Type 2,70.51%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Hywel Dda UHB,Persons,Type 1,23.16%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Hywel Dda UHB,Persons,Type 2,37.21%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Hywel Dda UHB,Persons,Type 1,53.13%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Hywel Dda UHB,Persons,Type 2,73.28%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Hywel Dda UHB,Persons,Type 1,49.88%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Hywel Dda UHB,Persons,Type 2,71.14%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Powys THB,Persons,Type 1,37.31%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Powys THB,Persons,Type 2,42.70%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Powys THB,Persons,Type 1,54.69%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Powys THB,Persons,Type 2,76.18%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Powys THB,Persons,Type 1,53.33%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Powys THB,Persons,Type 2,71.09%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Wales,Persons,Type 1,25.65%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2020/21,Percentage,Wales,Persons,Type 2,38.85%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Wales,Persons,Type 1,52.72%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2018/19,Percentage,Wales,Persons,Type 2,72.54%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Wales,Persons,Type 1,47.66%,[x],[x],
Percentage compliance of registrations for foot surveillance by diabetes type,2019/20,Percentage,Wales,Persons,Type 2,68.64%,[x],[x],
Observed and expected mortality with any mention of diabetes,01/01/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],95.09,[x],[x],
Observed and expected mortality with any mention of diabetes,01/02/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],99.2,[x],[x],
Observed and expected mortality with any mention of diabetes,01/03/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],103.96,[x],[x],
Observed and expected mortality with any mention of diabetes,01/04/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],118.27,[x],[x],
Observed and expected mortality with any mention of diabetes,01/05/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],87.76,[x],[x],
Observed and expected mortality with any mention of diabetes,01/06/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],86.25,[x],[x],
Observed and expected mortality with any mention of diabetes,01/07/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],72.93,[x],[x],
Observed and expected mortality with any mention of diabetes,01/08/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],81.71,[x],[x],
Observed and expected mortality with any mention of diabetes,01/09/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],77.75,[x],[x],
Observed and expected mortality with any mention of diabetes,01/10/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],81.05,[x],[x],
Observed and expected mortality with any mention of diabetes,01/11/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],97.68,[x],[x],
Observed and expected mortality with any mention of diabetes,01/12/2020,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],97.76,[x],[x],
Observed and expected mortality with any mention of diabetes,01/01/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],93.31,[x],[x],
Observed and expected mortality with any mention of diabetes,01/02/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],86.19,[x],[x],
Observed and expected mortality with any mention of diabetes,01/03/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],88.53,[x],[x],
Observed and expected mortality with any mention of diabetes,01/04/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],86.66,[x],[x],
Observed and expected mortality with any mention of diabetes,01/05/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],78.65,[x],[x],
Observed and expected mortality with any mention of diabetes,01/06/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],96.3,[x],[x],
Observed and expected mortality with any mention of diabetes,01/07/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],87.96,[x],[x],
Observed and expected mortality with any mention of diabetes,01/08/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],86.96,[x],[x],
Observed and expected mortality with any mention of diabetes,01/09/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],95.1,[x],[x],
Observed and expected mortality with any mention of diabetes,01/10/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],81.38,[x],[x],
Observed and expected mortality with any mention of diabetes,01/11/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],111.81,[x],[x],
Observed and expected mortality with any mention of diabetes,01/12/2021,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],94.23,[x],[x],
Observed and expected mortality with any mention of diabetes,01/01/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],113.86,[x],[x],
Observed and expected mortality with any mention of diabetes,01/02/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],115.23,[x],[x],
Observed and expected mortality with any mention of diabetes,01/03/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],98.65,[x],[x],
Observed and expected mortality with any mention of diabetes,01/04/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],100.11,[x],[x],
Observed and expected mortality with any mention of diabetes,01/05/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],99.63,[x],[x],
Observed and expected mortality with any mention of diabetes,01/06/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],92.93,[x],[x],
Observed and expected mortality with any mention of diabetes,01/07/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],80.8,[x],[x],
Observed and expected mortality with any mention of diabetes,01/08/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],86.93,[x],[x],
Observed and expected mortality with any mention of diabetes,01/09/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],89.35,[x],[x],
Observed and expected mortality with any mention of diabetes,01/10/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],90.46,[x],[x],
Observed and expected mortality with any mention of diabetes,01/11/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],96.47,[x],[x],
Observed and expected mortality with any mention of diabetes,01/12/2022,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],108.99,[x],[x],
Observed and expected mortality with any mention of diabetes,01/01/2023,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],130.7,[x],[x],
Observed and expected mortality with any mention of diabetes,01/02/2023,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],103.5,[x],[x],
Observed and expected mortality with any mention of diabetes,01/03/2023,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],102.4,[x],[x],
Observed and expected mortality with any mention of diabetes,01/04/2023,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],89.92,[x],[x],
Observed and expected mortality with any mention of diabetes,01/05/2023,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],90.06,[x],[x],
Observed and expected mortality with any mention of diabetes,01/06/2023,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],91.17,[x],[x],
Observed and expected mortality with any mention of diabetes,01/07/2023,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],73.31,[x],[x],
Observed and expected mortality with any mention of diabetes,01/08/2023,"Observed European age-standardised rate per 100,000",Wales,Persons,[x],93.26,[x],[x],
Observed and expected mortality with any mention of diabetes,01/01/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],101.83,[x],[x],
Observed and expected mortality with any mention of diabetes,01/02/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],94.23,[x],[x],
Observed and expected mortality with any mention of diabetes,01/03/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],89.49,[x],[x],
Observed and expected mortality with any mention of diabetes,01/04/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],86.77,[x],[x],
Observed and expected mortality with any mention of diabetes,01/05/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],78.88,[x],[x],
Observed and expected mortality with any mention of diabetes,01/06/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],71.74,[x],[x],
Observed and expected mortality with any mention of diabetes,01/07/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],69.02,[x],[x],
Observed and expected mortality with any mention of diabetes,01/08/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],70.13,[x],[x],
Observed and expected mortality with any mention of diabetes,01/09/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],75.2,[x],[x],
Observed and expected mortality with any mention of diabetes,01/10/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],75.37,[x],[x],
Observed and expected mortality with any mention of diabetes,01/11/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],87.1,[x],[x],
Observed and expected mortality with any mention of diabetes,01/12/2020,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],77.45,[x],[x],
Observed and expected mortality with any mention of diabetes,01/01/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],101.83,[x],[x],
Observed and expected mortality with any mention of diabetes,01/02/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],94.23,[x],[x],
Observed and expected mortality with any mention of diabetes,01/03/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],89.49,[x],[x],
Observed and expected mortality with any mention of diabetes,01/04/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],86.77,[x],[x],
Observed and expected mortality with any mention of diabetes,01/05/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],78.88,[x],[x],
Observed and expected mortality with any mention of diabetes,01/06/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],71.74,[x],[x],
Observed and expected mortality with any mention of diabetes,01/07/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],69.02,[x],[x],
Observed and expected mortality with any mention of diabetes,01/08/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],70.13,[x],[x],
Observed and expected mortality with any mention of diabetes,01/09/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],75.2,[x],[x],
Observed and expected mortality with any mention of diabetes,01/10/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],75.37,[x],[x],
Observed and expected mortality with any mention of diabetes,01/11/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],87.1,[x],[x],
Observed and expected mortality with any mention of diabetes,01/12/2021,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],77.45,[x],[x],
Observed and expected mortality with any mention of diabetes,01/01/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],99.24,[x],[x],
Observed and expected mortality with any mention of diabetes,01/02/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],91.89,[x],[x],
Observed and expected mortality with any mention of diabetes,01/03/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],89.31,[x],[x],
Observed and expected mortality with any mention of diabetes,01/04/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],87.85,[x],[x],
Observed and expected mortality with any mention of diabetes,01/05/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],80.75,[x],[x],
Observed and expected mortality with any mention of diabetes,01/06/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],77.45,[x],[x],
Observed and expected mortality with any mention of diabetes,01/07/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],72.6,[x],[x],
Observed and expected mortality with any mention of diabetes,01/08/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],74.64,[x],[x],
Observed and expected mortality with any mention of diabetes,01/09/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],78.83,[x],[x],
Observed and expected mortality with any mention of diabetes,01/10/2022,"Expected European age-standardised rate per 100,000",Wales,Persons,[x],77.33,[x],[x],
